Key,Description,MSRP,Wholesale,Cost
022AR,"Burner/C1A,C1B & DFC1 Models",107.00,53.50,55.11
023,"Aluminized Steel Burner with opposed louver lanced ports.  18.75"" mounting hole spacing; 15.18"" ...",107.00,53.50,55.11
038R,"Rear Burner/C2B,CRB & M2B Models",107.00,53.50,55.11
18T,"Thermocouple Only (YF,TR,SPK,RMC)",26.00,13.00,13.39
36T,"36"" Thermocouple Only - for use with 1830-010 pilot assembly",28.00,14.00,14.42
48T,"48"" Thermocouple Only - for use with 1830-010 pilot assembly",32.00,16.00,16.48
60T,"60"" Thermocouple Only - for use with 1830-010 pilot assembly",45.00,22.50,23.18
72T,"72"" Thermocouple Only - for use with 1830-010 pilot assembly",54.00,27.00,27.81
A204-N,Pilot burner orifice for (J95R & JPG9)- NG,12.00,6.00,6.18
A204-P,Pilot burner orifice for (J95R & JPG9)- LP,12.00,6.00,6.18
A204AD-P,Propane Pilot Burner Orifice to convert J95RADN to propane use,12.00,6.00,6.18
AC12,"12"" Aluminum connector",13.00,6.50,6.70
AC18,"15"" Aluminum connector",14.00,7.00,7.21
AC24,"24"" Aluminum connector",18.00,9.00,9.27
AC30,"30"" Aluminum connector",20.00,10.00,10.30
ACCB,"18"" Aluminum connector for CB",17.00,8.50,8.76
CE-A18F,Frt Burner For C3A-Models,181.00,90.50,93.22
CE-A18R,"Rear Burner/C3A/, C9A; Front Burner/C5A,C5B",121.00,60.50,62.32
CE-B24F,Front Burner For C3B Models,181.00,90.50,93.22
CE-B24R,"Rear Burner/C3B,C5A,C5B, C9B Models - SPECIFY MODEL AND GAS TYPE",121.00,60.50,62.32
CH5-RB,Rear Burner/C2A & M2A-Models,99.00,49.50,50.99
DK2,"Knob/C2 (A,B)-(S,R), YF - for B67 valve",13.00,6.50,6.70
DK4,"Knob for Dexen Millivolt valves used in ""S"" model sets and RPK3 kits.",13.00,6.50,6.70
IR-1,Infrared (front) burner for CRA Models,205.00,102.50,105.58
IR-2,Infrared (front) burner for CRB Models,220.00,110.00,113.30
J95R-N,"Pilot/Thermocouple for YF, TR, SPK, RMC, RPK3E and vented versions of ME, SE, RE - Natural Gas",36.00,18.00,18.54
J95R-P,"Pilot/Thermocouple for YF, TR, SPK, RMC, RPK3E and vented versions of ME, SE, RE - Propane",36.00,18.00,18.54
J95RADN,"Pilot/Thermocouple assembly for ANSI Natural Gas sets using ""EASY"" Controls",81.00,40.50,41.72
JK,"Knob For C1 (A,B) M, DFC1-M, C3-M     (1D)",13.00,6.50,6.70
JK2,"Knob For C2 (A,B)-M, YF, Z kit-M, SPK",13.00,6.50,6.70
JPBT,"1/8"" Pilot Burner Tube",12.00,6.00,6.18
JPG9-N,"Pilot Burner/Multicouple Assembly, Natural Gas",96.00,48.00,49.44
JPG9-P,"Pilot/Multicouple/YF & TR,""S"" Models, RPK-LP",96.00,48.00,49.44
JPG9C,"Thermo-Generator/JPG9 (S,R,YF,TR & RPK)",64.00,32.00,32.96
PIEZO,"Ignitor/pal nut/wire assembly - CB, YF & TR",29.00,14.50,14.94
R1-10.5,"Appliance Pressure Reg Set 10.5"" W.C. for LP     (1-3D)",43.00,21.50,22.15
R1-3.5,"Appliance Pressure Reg Set 3.5"" W.C. for NG",43.00,21.50,22.15
R1-5.0,"Appliance Pressure Reg Set 5.0"" W.C. for NG",43.00,21.50,22.15
RAT-1,Frt Burner for C2A Models,99.00,49.50,50.99
RBT-1,Frt Burner for C2B Models,107.00,53.50,55.11
SW-1,"Replacement 3-position switch for ""S"" models",28.00,14.00,14.42
TS-1,"Wall thermostat control, 20"" wire",61.00,30.50,31.42
WS-1,"Wall switch, cover, 20"" wire",33.00,16.50,17.00
WT-1,"60 Minute wall timer, cover, 20"" wire",110.00,55.00,56.65
1-CB-ODS,,0.00,0.00,0.00
ODS-CN-N,"Copreci Oxygen Depletion Sensor, Standard, Natural Gas (new style) (If replacing ODS-OP-N, custo...",82.00,41.00,42.23
ODS-CN-P,"Copreci Oxygen Depletion Sensor, Standard, Propane (new style)  (If replacing ODS-OP-P, customer...",82.00,41.00,42.23
ODS-CTF1,Pilot tube and fittings to adapt OP ODS to Chillbuster units with Copreci ODS - MUST SPECIFY MOD...,20.00,10.00,10.30
ODS-CTF2,Pilot tube and fittings to adapt Copreci ODS-CN to Chillbuster units with OP ODS - MUST SPECIFY ...,20.00,10.00,10.30
ODS-LOXIT,"Loxit 1/4"" tube to ODS adapter fitting",7.00,3.50,3.61
ODS-OP-N,**NO LONGER AVAILABLE - Substitute ODS-CN-N - (Customer will need to cut the fitting off of the ...,82.00,41.00,42.23
ODS-OP-P,O.P. America ODS - (M & R controls) LP,82.00,41.00,42.23
ODS-RCN-N,"Copreci Millivolt Oxygen Depletion Sensor, Standard, Natural Gas (new style)  (If replacing ODS-...",173.00,86.50,89.10
ODS-RCN-P,"Copreci Millivolt Oxygen Depletion Sensor, Standard, Propane (new style)  (If replacing ODS-ROP-...",173.00,86.50,89.10
ODS-ROP-N,**NO LONGER AVAILABLE - Substitute ODS-RCN-N - (Customer will need to cut the fitting off of the...,180.00,90.00,92.70
ODS-ROP-P,**NO LONGER AVAILABLE - Substitute ODS-RCN-P - (Customer will need to cut the fitting off of the...,180.00,90.00,92.70
ODS-VEI-CS-N,"Pilot Assembly with brackets, spacers and fasteners for VEI with CS burners - Natural Gas",101.00,50.50,52.02
ODS-VEI-CS-P,"Pilot Assembly with brackets, spacers and fasteners for VEI with CS burners - Propane",101.00,50.50,52.02
ODS-VEI-CXF-N,"Pilot Assembly with brackets, spacers and fasteners for VEI with CXF burners - Natural Gas",101.00,50.50,52.02
ODS-VEI-CXF-P,"Pilot Assembly with brackets, spacers and fasteners for VEI with CXF burners - Propane",101.00,50.50,52.02
ODS-VEI-F-N,"Pilot Assembly with brackets, spacers and fasteners for VEI with F and FX burners - Natural Gas",101.00,50.50,52.02
ODS-VEI-F-P,"Pilot Assembly with brackets, spacers and fasteners for VEI with F and FX burners - Propane",101.00,50.50,52.02
ODS-VEI-LC-N,"Pilot Assembly with brackets, spacers and fasteners for VEI with LC burners - Natural Gas",101.00,50.50,52.02
ODS-VEI-LC-P,"Pilot Assembly with brackets, spacers and fasteners for VEI with LC burners - Propane",101.00,50.50,52.02
ODS-VEI-TNA-N,Pilot Assembly with brackets and fasteners for VEI with TNA burners - Natural Gas,101.00,50.50,52.02
